GZ1,Acquired data,1,5
RI,LALS,RALS,DP,IP
-0.291850666205088,189.057327270507812,192.138361612955720,9.992769559224447,42.293999989827476
-0.290662879745166,189.055460611979157,192.136393229166657,9.991633097330729,42.294239044189453
-0.288075077037017,189.053665161132812,192.134592692057282,9.991899808247885,42.294312795003258
-0.287221536040306,189.051829020182282,192.132797241210938,9.992153167724609,42.294094085693359
-0.285934088130792,189.050125122070312,192.131195068359375,9.994399388631185,42.293655395507812
-0.285012672344844,189.049062093098968,192.130625406901032,9.996630032857260,42.293375651041664
-0.284791889290015,189.049260457356780,192.131195068359375,9.995453198750814,42.293317159016929
-0.285937264561653,189.050033569335938,192.132532755533845,9.993036270141602,42.293048858642578
-0.286016896367073,189.050928751627595,192.133992513020843,9.990016301472982,42.292435963948570
-0.285729058086872,189.052261352539062,192.135594685872405,9.989403088887533,42.291998545328774
-0.285841584205627,189.053924560546875,192.137395222981780,9.987489700317383,42.292366027832031
-0.283187183241049,189.055328369140625,192.138498942057282,9.984683036804199,42.293059031168617
-0.280899807810783,189.056330362955720,192.138956705729157,9.984472910563150,42.293429056803383
-0.279845359424750,189.057230631510407,192.139328002929688,9.985386530558268,42.293404897054039
-0.278357620040576,189.057759602864593,192.139628092447907,9.986903190612793,42.293279012044273
-0.277537316083908,189.058029174804688,192.139831542968750,9.985406557718912,42.293384552001953
-0.276716033617655,189.058125813802093,192.139892578125000,9.986389795939127,42.293568929036461
